From,To,Line,Load,Inverse_Load
Leytonstone,Snaresbrook,Central,400899.1542017541,2.4943928903794746e-06
Leytonstone,Wanstead,Central,339014.83230869647,2.94972344776181e-06
Liverpool Street LU,Aldgate,H&C and Circle,173670.21392044588,5.758039777955682e-06
Liverpool Street LU,Aldgate,Metropolitan,101803.63223380526,9.82283223159828e-06
Liverpool Street LU,Aldgate East,H&C and Circle,255918.8573458112,3.907488531213418e-06
Liverpool Street LU,Bethnal Green LU,Central,1415401.0668821202,7.065135270830509e-07
Liverpool Street LU,Moorgate,H&C and Circle,511762.9748808327,1.9540295978482158e-06
Liverpool Street LU,Moorgate,Metropolitan,275783.2015502018,3.62603666350565e-06
London Bridge LU,Bermondsey,Jubilee,1673679.575046847,5.974859315421887e-07
London Bridge LU,Borough,Northern,857980.0429694285,1.1655282756217117e-06
London Bridge LU,Southwark,Jubilee,1716172.8678658786,5.826918830406259e-07
Loughton,Buckhurst Hill,Central,173621.43735864593,5.759657420266152e-06
Loughton,Debden,Central,121150.0097186463,8.25422963087133e-06
Maida Vale,Kilburn Park,Bakerloo,262320.70215902943,3.8121276428795145e-06
Maida Vale,Warwick Avenue,Bakerloo,345335.1900258895,2.8957373267550026e-06
Manor House,Finsbury Park LU,Piccadilly,725561.674613086,1.378242587762455e-06
Manor House,Turnpike Lane,Piccadilly,606683.8989682676,1.6483048284297795e-06
Mansion House,Blackfriars LU,District,853667.1999486008,1.17141668329322e-06
Mansion House,Blackfriars LU,H&C and Circle,182134.1185895652,5.4904594907529416e-06
Mansion House,Cannon Street LU,District,830944.0344563987,1.203450483466311e-06
Mansion House,Cannon Street LU,H&C and Circle,177115.8516545316,5.646022028285318e-06
Marble Arch,Lancaster Gate,Central,1010482.3201474816,9.896264190491214e-07
Marylebone LU,Baker Street,Bakerloo,667381.639003723,1.4983930356442147e-06
Marylebone LU,Edgware Road (Bak),Bakerloo,676935.0534386302,1.4772465909695402e-06
Mile End,Bethnal Green LU,Central,1302649.3830248597,7.676662753855664e-07
Mile End,Bow Road,District,627200.0465747509,1.5943876367056648e-06
Mile End,Bow Road,H&C and Circle,197783.97238667065,5.056021415350001e-06
Mile End,Stepney Green,District,556712.2572763388,1.796260073188264e-06
Mile End,Stepney Green,H&C and Circle,182191.0338283588,5.488744308581588e-06
Mile End,Stratford,Central,1208187.450274906,8.276861341114446e-07
Mill Hill East,Finchley Central,Northern,34483.563247424536,2.8999323324705627e-05
